prop_id,prop_type,province,city,location,bedrooms,bathrooms,area,purpose,date_added,price,pprice
191,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/28/2023,PKR1.7 Crore,17000000
192,Flat,Sindh,Karachi,"Gadap Town, Karachi, Sindh",2,2,167 Sq. Yd.,For Sale,6/28/2023,PKR1.25 Crore,12500000
193,House,Sindh,Karachi,"Saadi Road, Karachi, Sindh",2,2,94 Sq. Yd.,For Sale,6/28/2023,PKR64 Lakh,640000000
194,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",4,4,100 Sq. Yd.,For Sale,6/28/2023,PKR3.85 Crore,38500000
195,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",3,3,100 Sq. Yd.,For Sale,6/28/2023,PKR4.1 Crore,41000000
196,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,6/28/2023,PKR12.5 Crore,125000000
197,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,125 Sq. Yd.,For Sale,6/28/2023,PKR1.4 Crore,14000000
199,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,122 Sq. Yd.,For Sale,6/30/2023,PKR70 Lakh,700000000
200,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,235 Sq. Yd.,For Sale,6/30/2023,PKR1.5 Crore,15000000
201,Flat,Sindh,Karachi,"Gadap Town, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,07/01/2023,PKR55 Lakh,550000000
202,Flat,Sindh,Karachi,"Jamshed Road, Karachi, Sindh",4,4,244 Sq. Yd.,For Sale,07/01/2023,PKR4.2 Crore,42000000
203,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",5,4,350 Sq. Yd.,For Sale,6/29/2023,PKR2.2 Crore,22000000
204,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/29/2023,PKR1.7 Crore,17000000
205,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,6,"1,000 Sq. Yd.",For Sale,6/29/2023,PKR24 Crore,240000000
206,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",5,4,500 Sq. Yd.,For Sale,6/29/2023,PKR9.25 Crore,92500000
207,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,250 Sq. Yd.,For Sale,6/29/2023,PKR3 Crore,30000000
208,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,122 Sq. Yd.,For Sale,6/29/2023,PKR55 Lakh,550000000
209,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",2,2,100 Sq. Yd.,For Sale,6/29/2023,PKR65 Lakh,650000000
210,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,6/29/2023,PKR1.32 Crore,13200000
211,Upper Portion,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",3,3,233 Sq. Yd.,For Sale,6/29/2023,PKR1.9 Crore,19000000
212,Lower Portion,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",2,2,95 Sq. Yd.,For Sale,6/29/2023,PKR93 Lakh,930000000
214,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/28/2023,PKR1.75 Crore,17500000
215,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,235 Sq. Yd.,For Sale,6/28/2023,PKR1.6 Crore,16000000
216,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",5,5,500 Sq. Yd.,For Sale,6/28/2023,PKR4.5 Crore,45000000
217,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,350 Sq. Yd.,For Sale,6/28/2023,PKR2.25 Crore,22500000
218,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,235 Sq. Yd.,For Sale,6/28/2023,PKR1.45 Crore,14500000
219,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,122 Sq. Yd.,For Sale,6/28/2023,PKR80 Lakh,800000000
220,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/28/2023,PKR75 Lakh,750000000
221,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,235 Sq. Yd.,For Sale,6/28/2023,PKR1.45 Crore,14500000
222,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",6,5,500 Sq. Yd.,For Sale,07/01/2023,PKR4.7 Crore,47000000
223,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,07/01/2023,PKR1.42 Crore,14200000
224,Flat,Sindh,Karachi,"Airport, Karachi, Sindh",4,3,133 Sq. Yd.,For Sale,07/01/2023,PKR1.75 Crore,17500000
225,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,122 Sq. Yd.,For Sale,07/01/2023,PKR60 Lakh,600000000
226,Flat,Sindh,Karachi,"Scheme 33, Karachi, Sindh",4,3,194 Sq. Yd.,For Sale,07/01/2023,PKR2 Crore,20000000
227,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,189 Sq. Yd.,For Sale,6/29/2023,PKR2.7 Crore,27000000
228,House,Sindh,Karachi,"Scheme 33, Karachi, Sindh",5,4,120 Sq. Yd.,For Sale,6/30/2023,PKR3 Crore,30000000
229,House,Sindh,Karachi,"Scheme 33, Karachi, Sindh",5,4,120 Sq. Yd.,For Sale,6/30/2023,PKR3.2 Crore,32000000
230,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",4,3,404 Sq. Yd.,For Sale,6/30/2023,PKR9 Crore,90000000
231,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,235 Sq. Yd.,For Sale,6/29/2023,PKR1.43 Crore,14300000
232,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",10,10,500 Sq. Yd.,For Sale,6/29/2023,PKR11.85 Crore,118500000
233,Upper Portion,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",3,3,180 Sq. Yd.,For Sale,6/29/2023,PKR1.4 Crore,14000000
234,Upper Portion,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,140 Sq. Yd.,For Sale,6/29/2023,PKR1.12 Crore,11200000
235,House,Sindh,Karachi,"North Karachi, Karachi, Sindh",6,6,240 Sq. Yd.,For Sale,6/29/2023,PKR2.8 Crore,28000000
236,Upper Portion,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/29/2023,PKR1.7 Crore,17000000
237,Upper Portion,Sindh,Karachi,"Nazimabad, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/29/2023,PKR65 Lakh,650000000
238,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/28/2023,PKR1.75 Crore,17500000
239,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/28/2023,PKR2.3 Crore,23000000
